Tarea,BPM,Tiempo,Notas
Puedes hacer lo que quieras,,,Psytrance
Papa rolling stone,,07:00,
Youre wondering now,,06:00,
Atentado al papa,95,03:00,
Renfe,128,04:45,
Sueñan las cacas,,,Acid 1
Nuclear sí,140,06:30,
Luigi,190,02:50,
Salva,,03:00,
Chacal,189,01:40,
Waterworld,,02:20,
Todas al fútbol,,,
Malo final,,00:00,
Lata birra,,03:00,
Corre Carlos corre,,,
Asistente virtual,,,
Olegari,156,05:20,
Wikipedia,,00:00,
Duende,,03:00,
Mojoyoyo,185,03:45,
Dancemania,,00:00,
La momia,,,
Noche en el museo,,00:00,
No politics,148,04:45,
Antitodo,140,07:40,Acid 3
Melokotoia,160,07:35,Acid 1
Boda montañas,125,06:30,
Barman,165,05:10,
Lepoan hartu,,,
,,,
